"name","party","state","money","phone_spy_vote"
"Andre Carson","D","IN",15500,"rein_in_phone_dragnet"
"Eddie Bernice Johnson","D","TX",15500,"continue_allowing_mass_surveillance"
"Joe Barton","R","TX",15500,"rein_in_phone_dragnet"
"Raymond Gene Green","D","TX",15500,"rein_in_phone_dragnet"
"Charles Fleischmann","R","TN",15000,"rein_in_phone_dragnet"
"Gregory Meeks","D","NY",15000,"continue_allowing_mass_surveillance"
"Jim Jordan","R","OH",15000,"rein_in_phone_dragnet"
"Steve Daines","R","MT",15000,"rein_in_phone_dragnet"
"Tom Rice","R","SC",15000,"rein_in_phone_dragnet"
"John Tierney","D","MA",14750,"rein_in_phone_dragnet"
"Karen Bass","D","CA",14500,"rein_in_phone_dragnet"
"Tim Murphy","R","PA",14500,"continue_allowing_mass_surveillance"
"Frank Lucas","R","OK",14250,"continue_allowing_mass_surveillance"
"Matt Salmon","R","AZ",14200,"rein_in_phone_dragnet"
"Gwen Moore","D","WI",14000,"rein_in_phone_dragnet"
"Trey Gowdy","R","SC",14000,"rein_in_phone_dragnet"
"Steve Southerland","R","FL",13786,"rein_in_phone_dragnet"
"Jerry McNerney","D","CA",13750,"continue_allowing_mass_surveillance"
"Vern Buchanan","R","FL",13750,"rein_in_phone_dragnet"
"Kurt Schrader","D","OR",13550,"rein_in_phone_dragnet"
"Elijah Cummings","D","MD",13500,"rein_in_phone_dragnet"
"Bill Flores","R","TX",13000,"continue_allowing_mass_surveillance"
"Bob Goodlatte","R","VA",13000,"continue_allowing_mass_surveillance"
"Doris Matsui","D","CA",13000,"rein_in_phone_dragnet"
"Stephen Lynch","D","MA",13000,"rein_in_phone_dragnet"
"Donna Edwards","D","MD",12750,"rein_in_phone_dragnet"
"Ami Bera","D","CA",12700,"continue_allowing_mass_surveillance"
"Henry Waxman","D","CA",12500,"rein_in_phone_dragnet"
"Nick Rahall","D","WV",12500,"rein_in_phone_dragnet"
"Paul Tonko","D","NY",12500,"rein_in_phone_dragnet"
"Tulsi Gabbard","D","HI",12500,"rein_in_phone_dragnet"
"Mark Amodei","R","NV",12250,"rein_in_phone_dragnet"
"Emanuel Cleaver","D","MO",12000,"rein_in_phone_dragnet"
"Grace Napolitano","D","CA",12000,"rein_in_phone_dragnet"
"Mike Kelly","R","PA",12000,"continue_allowing_mass_surveillance"
"Robert Randy Neugebauer","R","TX",12000,"continue_allowing_mass_surveillance"
"Sean Duffy","R","WI",12000,"rein_in_phone_dragnet"
"Mike Doyle","D","PA",11800,"rein_in_phone_dragnet"
"Dan Benishek","R","MI",11500,"continue_allowing_mass_surveillance"
"Jim McDermott","D","WA",11500,"rein_in_phone_dragnet"
"Marcia Fudge","D","OH",11500,"rein_in_phone_dragnet"
"Mike Capuano","D","MA",11500,"rein_in_phone_dragnet"
"Renee Ellmers","R","NC",11500,"continue_allowing_mass_surveillance"
"Suzan DelBene","D","WA",11500,"rein_in_phone_dragnet"
"Tim Walberg","R","MI",11250,"continue_allowing_mass_surveillance"
"Marc Veasey","D","TX",11200,"continue_allowing_mass_surveillance"
"Dan Lipinski","D","IL",11000,"continue_allowing_mass_surveillance"
"Peter Welch","D","VT",11000,"rein_in_phone_dragnet"
"Sam Graves","R","MO",11000,"continue_allowing_mass_surveillance"
"Todd Rokita","R","IN",11000,NA
"Tom Price","R","GA",11000,"rein_in_phone_dragnet"
"Gary Peters","D","MI",10800,"continue_allowing_mass_surveillance"
"Candice Miller","R","MI",10750,"continue_allowing_mass_surveillance"
"Paul Gosar","R","AZ",10750,"rein_in_phone_dragnet"
"Dennis Ross","R","FL",10500,"rein_in_phone_dragnet"
"Erik Paulsen","R","MN",10500,"continue_allowing_mass_surveillance"
"Ron Kind","D","WI",10500,"continue_allowing_mass_surveillance"
"Carolyn McCarthy","D","NY",10450,NA
"Juan Vargas","D","CA",10250,"continue_allowing_mass_surveillance"
"David Scott","D","GA",10000,"continue_allowing_mass_surveillance"
"John Jimmy Duncan","R","TN",10000,"rein_in_phone_dragnet"
"Lucille Roybal-Allard","D","CA",10000,"rein_in_phone_dragnet"
"Tim Bishop","D","NY",10000,"continue_allowing_mass_surveillance"
"Zoe Lofgren","D","CA",10000,"rein_in_phone_dragnet"
"George Bill Foster","D","IL",9900,"continue_allowing_mass_surveillance"
"Bobby Scott","D","VA",9750,"rein_in_phone_dragnet"
"Michael Grimm","R","NY",9750,"continue_allowing_mass_surveillance"
"Paul Broun","R","GA",9706,"rein_in_phone_dragnet"
"Michelle Lujan Grisham","D","NM",9500,"rein_in_phone_dragnet"
"Eliot Engel","D","NY",9250,"continue_allowing_mass_surveillance"
"John Carney","D","DE",9000,"continue_allowing_mass_surveillance"
"Mel Watt","D","NC",9000,"rein_in_phone_dragnet"
"Scott Tipton","R","CO",9000,"rein_in_phone_dragnet"
"Carolyn Maloney","D","NY",8500,"rein_in_phone_dragnet"
"James Lankford","R","OK",8500,"continue_allowing_mass_surveillance"
"Elizabeth Esty","D","CT",8250,"continue_allowing_mass_surveillance"
"Rush Holt","D","NJ",8250,"rein_in_phone_dragnet"
"Keith Rothfus","R","PA",8000,"rein_in_phone_dragnet"
"Lloyd Ted Poe","R","TX",8000,"rein_in_phone_dragnet"
"Scott Peters","D","CA",8000,"continue_allowing_mass_surveillance"
"Richard Hanna","R","NY",7500,"continue_allowing_mass_surveillance"
"Richard Hudson","R","NC",7500,"continue_allowing_mass_surveillance"
"Steve Stockman","R","TX",7500,"rein_in_phone_dragnet"
"Larry Bucshon","R","IN",7250,"continue_allowing_mass_surveillance"
"Earl Blumenauer","D","OR",7000,"rein_in_phone_dragnet"
"Joseph Kennedy","D","MA",6750,"continue_allowing_mass_surveillance"
"Blaine Luetkemeyer","R","MO",6500,"continue_allowing_mass_surveillance"
"Diana DeGette","D","CO",6500,"rein_in_phone_dragnet"
"Jackie Walorski","R","IN",6500,"continue_allowing_mass_surveillance"
"Mick Mulvaney","R","SC",6500,"rein_in_phone_dragnet"
"Mike Michaud","D","ME",6500,"rein_in_phone_dragnet"
"Raul Grijalva","D","AZ",6500,"rein_in_phone_dragnet"
"Don Young","R","AK",6250,"rein_in_phone_dragnet"
"Ron DeSantis","R","FL",6250,"rein_in_phone_dragnet"
"Betty McCollum","D","MN",6000,"rein_in_phone_dragnet"
"Joe Pitts","R","PA",6000,"continue_allowing_mass_surveillance"
"Kevin Cramer","R","ND",6000,"rein_in_phone_dragnet"
"Peter DeFazio","D","OR",6000,"rein_in_phone_dragnet"
"Randy Hultgren","R","IL",6000,"rein_in_phone_dragnet"
"Sam Farr","D","CA",6000,"rein_in_phone_dragnet"
"Jaime Herrera Beutler","R","WA",5859,NA
"Glenn Thompson","R","PA",5750,"rein_in_phone_dragnet"
"Bob Latta","R","OH",5700,"continue_allowing_mass_surveillance"
"Billy Long","R","MO",5500,"continue_allowing_mass_surveillance"
"Randy Weber","R","TX",5500,"rein_in_phone_dragnet"
"Brad Wenstrup","R","OH",5250,"continue_allowing_mass_surveillance"
"F. Jim Sensenbrenner","R","WI",5000,"rein_in_phone_dragnet"
"Filemon Vela","D","TX",5000,"rein_in_phone_dragnet"
"Jim Bridenstine","R","OK",5000,"rein_in_phone_dragnet"
"John Howard Coble","R","NC",5000,NA
"John Sarbanes","D","MD",5000,"rein_in_phone_dragnet"
"Judy Chu","D","CA",5000,"rein_in_phone_dragnet"
"Nydia Velazquez","D","NY",5000,"rein_in_phone_dragnet"
"Raul Labrador","R","ID",5000,"rein_in_phone_dragnet"
"Tom McClintock","R","CA",4650,"rein_in_phone_dragnet"
"Bill Cassidy","R","LA",4500,"rein_in_phone_dragnet"
"Paul Cook","R","CA",4500,"continue_allowing_mass_surveillance"
"Ruben Hinojosa","D","TX",4500,"continue_allowing_mass_surveillance"
"Blake Farenthold","R","TX",4250,"rein_in_phone_dragnet"
"Jeff Denham","R","CA",4250,"continue_allowing_mass_surveillance"
"Patrick Murphy","D","FL",4200,"continue_allowing_mass_surveillance"
"Bobby Rush","D","IL",4000,"rein_in_phone_dragnet"
"Bradley Schneider","D","IL",4000,"continue_allowing_mass_surveillance"
"Collin Peterson","D","MN",4000,"continue_allowing_mass_surveillance"
"Cynthia Lummis","R","WY",4000,"rein_in_phone_dragnet"
"Frederica Wilson","D","FL",4000,"continue_allowing_mass_surveillance"
"Gary Miller","R","CA",4000,"rein_in_phone_dragnet"
"Jan Schakowsky","D","IL",4000,"continue_allowing_mass_surveillance"
"Jose Serrano","D","NY",4000,"rein_in_phone_dragnet"
"Lou Barletta","R","PA",4000,NA
"Patrick McHenry","R","NC",4000,"rein_in_phone_dragnet"
"Richard Nugent","R","FL",4000,"rein_in_phone_dragnet"
"Scott DesJarlais","R","TN",4000,"rein_in_phone_dragnet"
"Sheila Jackson Lee","D","TX",4000,"continue_allowing_mass_surveillance"
"Tim Huelskamp","R","KS",4000,"rein_in_phone_dragnet"
"John Delaney","D","MD",3700,"continue_allowing_mass_surveillance"
"Leonard Lance","R","NJ",3500,"continue_allowing_mass_surveillance"
"Luis Gutierrez","D","IL",3500,"continue_allowing_mass_surveillance"
"Pete Gallego","D","TX",3500,"continue_allowing_mass_surveillance"
"Alan Lowenthal","D","CA",3250,"rein_in_phone_dragnet"
"Markwayne Mullin","R","OK",3250,"rein_in_phone_dragnet"
"Scott Perry","R","PA",3250,"rein_in_phone_dragnet"
"Steve King","R","IA",3250,"continue_allowing_mass_surveillance"
"Alice Dina Titus","D","NV",3000,"continue_allowing_mass_surveillance"
"Danny Davis","D","IL",3000,"rein_in_phone_dragnet"
"Frank Pallone","D","NJ",3000,NA
"John Conyers","D","MI",3000,"rein_in_phone_dragnet"
"Matthew Cartwright","D","PA",3000,"rein_in_phone_dragnet"
"Rob Woodall","R","GA",3000,"continue_allowing_mass_surveillance"
"Steve Scalise","R","LA",3000,"rein_in_phone_dragnet"
"Thomas Massie","R","KY",3000,"rein_in_phone_dragnet"
"Tony Cardenas","D","CA",3000,"rein_in_phone_dragnet"
"Virginia Foxx","R","NC",3000,"continue_allowing_mass_surveillance"
"William Enyart","D","IL",3000,"continue_allowing_mass_surveillance"
"Keith Ellison","D","MN",2750,"rein_in_phone_dragnet"
"Beto O'Rourke","D","TX",2500,"rein_in_phone_dragnet"
"David Joyce","R","OH",2500,"continue_allowing_mass_surveillance"
"Lois Frankel","D","FL",2500,"continue_allowing_mass_surveillance"
"Barbara Lee","D","CA",2250,"rein_in_phone_dragnet"
"Joyce Beatty","D","OH",2250,NA
"Rodney Davis","R","IL",2250,"rein_in_phone_dragnet"
"Alcee Hastings","D","FL",2000,"rein_in_phone_dragnet"
"Charlie Rangel","D","NY",2000,"rein_in_phone_dragnet"
"Chris Collins","R","NY",2000,"continue_allowing_mass_surveillance"
"Chris Smith","R","NJ",2000,"rein_in_phone_dragnet"
"Donald Payne","D","NJ",2000,"continue_allowing_mass_surveillance"
"George Holding","R","NC",2000,"continue_allowing_mass_surveillance"
"Jared Polis","D","CO",2000,"rein_in_phone_dragnet"
"Karen Jackie Speier","D","CA",2000,"rein_in_phone_dragnet"
"Linda Sanchez","D","CA",2000,"rein_in_phone_dragnet"
"Louie Gohmert","R","TX",2000,"rein_in_phone_dragnet"
"Robert Pittenger","R","NC",2000,"continue_allowing_mass_surveillance"
"Shelley Capito","R","WV",2000,"continue_allowing_mass_surveillance"
"Theodore Deutch","D","FL",2000,"rein_in_phone_dragnet"
"Trey Radel","R","FL",2000,"rein_in_phone_dragnet"
"Kyrsten Sinema","D","AZ",1750,"continue_allowing_mass_surveillance"
"Dana Rohrabacher","R","CA",1650,"rein_in_phone_dragnet"
"Andy Harris","R","MD",1500,"rein_in_phone_dragnet"
"Cheri Bustos","D","IL",1500,NA
"Chris Stewart","R","UT",1500,"rein_in_phone_dragnet"
"Mark Takano","D","CA",1450,"rein_in_phone_dragnet"
"Justin Amash","R","MI",1400,"rein_in_phone_dragnet"
"Ann Kuster","D","NH",1250,"continue_allowing_mass_surveillance"
"Dan Maffei","D","NY",1250,"rein_in_phone_dragnet"
"John Yarmuth","D","KY",1250,"rein_in_phone_dragnet"
"Bob Gibbs","R","OH",1000,"continue_allowing_mass_surveillance"
"David Valadao","R","CA",1000,"continue_allowing_mass_surveillance"
"Doug Collins","R","GA",1000,"continue_allowing_mass_surveillance"
"Eric Crawford","R","AR",1000,"continue_allowing_mass_surveillance"
"Kerry Bentivolio","R","MI",1000,"rein_in_phone_dragnet"
"Luke Messer","R","IN",1000,"continue_allowing_mass_surveillance"
"Mark Meadows","R","NC",1000,"rein_in_phone_dragnet"
"Mike Quigley","D","IL",1000,"continue_allowing_mass_surveillance"
"Susan Brooks","R","IN",1000,"continue_allowing_mass_surveillance"
"Ted Yoho","R","FL",1000,"rein_in_phone_dragnet"
"Alan Grayson","D","FL",975,"rein_in_phone_dragnet"
"Mark Pocan","D","WI",750,"rein_in_phone_dragnet"
"Jim Costa","D","CA",500,"continue_allowing_mass_surveillance"
"Maxine Waters","D","CA",500,"rein_in_phone_dragnet"
"Raul Ruiz","D","CA",500,"continue_allowing_mass_surveillance"
"Al Green","D","TX",0,"continue_allowing_mass_surveillance"
"Albio Sires","D","NJ",0,"continue_allowing_mass_surveillance"
"Ann Kirkpatrick","D","AZ",0,"continue_allowing_mass_surveillance"
"Carol Shea-Porter","D","NH",0,"rein_in_phone_dragnet"
"Corrine Brown","D","FL",0,"continue_allowing_mass_surveillance"
"Daniel Kildee","D","MI",0,"rein_in_phone_dragnet"
"David Phil Roe","R","TN",0,"rein_in_phone_dragnet"
"Doug LaMalfa","R","CA",0,"rein_in_phone_dragnet"
"Eric Swalwell","D","CA",0,"rein_in_phone_dragnet"
"Garland Barr","R","KY",0,"continue_allowing_mass_surveillance"
"George Miller","D","CA",0,"rein_in_phone_dragnet"
"Gloria Negrete McLeod","D","CA",0,NA
"Grace Meng","D","NY",0,"continue_allowing_mass_surveillance"
"Hakeem Jeffries","D","NY",0,"rein_in_phone_dragnet"
"Jared Huffman","D","CA",0,"rein_in_phone_dragnet"
"Jason Smith","R","MO",0,"rein_in_phone_dragnet"
"Jerry Nadler","D","NY",0,"rein_in_phone_dragnet"
"Joe Garcia","D","FL",0,"continue_allowing_mass_surveillance"
"Julia Brownley","D","CA",0,"continue_allowing_mass_surveillance"
"Lloyd Doggett","D","TX",0,"rein_in_phone_dragnet"
"Marshall Sanford","R","SC",0,"rein_in_phone_dragnet"
"Richard Nolan","D","MN",0,"rein_in_phone_dragnet"
"Robin Kelly","D","IL",0,"continue_allowing_mass_surveillance"
"Sean Maloney","D","NY",0,"continue_allowing_mass_surveillance"
"Stephen Fincher","R","TN",0,"rein_in_phone_dragnet"
"Steve Cohen","D","TN",0,"rein_in_phone_dragnet"
"Steven Horsford","D","NV",0,NA
"Tim Walz","D","MN",0,"rein_in_phone_dragnet"
